Org Comment,ISBN,Title,Author,Edition,Copyright,Publisher
Doc done,9780131899858,"Focus on grammar: an integrated skills approach, Volume 3","Fuchs, Marjorie; Bonner, Margaret; Westheimer, M",3rd,2006,Pearson Longman
master PDF and complete DOC,9780131930438,Latin America: A Concise Interpretive History,"Burns, Bradford E.",8th,2006,Prentice Hall
master PDF,9780131989269,Logic and Computer Design Fundamentals,"Mano, M. Morris",4th,2007,M. Morris
master PDF,9780132203845,Statistics for business and economics,"Newbold, Paul",6th,2006,Prentice Hall
Master PDF,9780132243315,Electronic commerce 2008: a managerial perspective,"Turban, Efraim",Hardcover,2007,Prentice Hall
Master PDF & DOC,9780132370622,Operations Management Student Lecture Guide,Heizer & Render,8th,2007,Pearson - Prentice Hall
TXT done plus Master PDF,9780132380348,Essentials of Logic,Irving M. Copi,2nd,2007,Prentice Hall
Master PDF,9780132392549,Comparative criminal justice systems: a topical approach,"Reichel, Philip L.",5th,2007,Prentice Hall
Master PDF,9780136155638,Introduction to International Political Economy,David N. Balaam,4th,2007,Prentice Hall
Master DOC,9780140178210,The Bloody Chamber,CARTER,,1979,PENG-U
DOC done,9780140194708,The farther reaches of human nature,Abraham Maslow,,1971,Penguin Compass
Master DOC,9780140437614,The Life and Adventures of Robinson Crusoe,"Daniel Defoe, John Richetti",Reissue,2001,Penguin Classics
Course DNE,9780140444285,The Discourses,Machiavelli,New Ed,1984,Penguin
Master DOC & PDF,9780140449884,"Selected Poems (Tagore, Rabindranath)","Tagore, Rabindranath",,2005,Penguin Classics
Master PDF,9780140714036,Measure for Measure (Pelican),"Shakespeare, William",Revised,1956,Penguin
Master DOC,9780140714173,As You Like It,William Shakespeare,revised,1987,Penguin Group
Master PDF,9780140714548,Hamlet,"Shakespeare, William",,2001,Penguin Putnam
"Master DOC, TXT, PDF (LGP)",9780140714586,Henry V,"Shakespeare, William",1st,1999,Penguin
Master KES & PDF,9780141182568,A Streetcar Named Desire and Other Plays,"Williams, Tennessee",paper,2000,Penguin Classics
DOC,9780143036029,The Heart of the World: A Journey to Tibet's Lost Paradise,"baker, ian",Paper,2004,penguin books
Master DOC,9780143036371,Disgrace,"Coetzee, J.M.",1st,2000,Penguin
Master DOC,9780151400034,Henry and June: from the unexpurgated diary of Anais Nin,"Nin, Anais",1st,1986,Harcourt
Master PDF,9780155063952,The Harcourt Anthology of Drama,W. B. Worthen,1,,Wadsworth Publishing
Master DOC & TIF,9780156003896,Altogether Elsewhere: Writers on Exile,"Robinson, Marc",1st,1994,Harcourt Brace & Co - Harvest Book
Master DOC,9780156030472,to the Lighthouse,Woolf,,,
